%                                                       MEASUREMENT OF THE Y(1S), Y(2S) AND Y(3S) POLARIZATIONS
%                                                                 IN PP COLLISIONS AT SQRT(S) = 7 TeV
%
%                                                                        SUPPLEMENTAL MATERIAL
%
%
%These tables list the results of the angular anisotropy parameters Lambda-Theta, Lambda-Phi, Lambda-Theta-Phi and the frame-invariant parameter Lambda-Tilde, for the Y(nS)
%states in the Collins-Soper (CS), helicity (HX), and perpendicular helicity (PX) frames, along with their total uncertainties (TU) (68.3%, 95.5%, and 99.7% CL) and statistical
%uncertainties (SU) only (68.3% CL) for different bins of Y transverse momentum pT and rapidity y.
%
%Column headings are:
%      pT-min: lower border of Y transverse momentum (GeV)
%      pT-max: upper border of Y transverse momentum (GeV)
%     |y|-min: lower border of Y rapidity
%     |y|-max: upper border of Y rapidity
%    Lambda-*: central value of the result
%-T.U.68.3%CL: negative total uncertainty, 68.3% CL
%+T.U.68.3%CL: positive total uncertainty, 68.3% CL
%-T.U.95.5%CL: negative total uncertainty, 95.5% CL
%+T.U.95.5%CL: positive total uncertainty, 95.5% CL
%-T.U.99.7%CL: negative total uncertainty, 99.7% CL
%+T.U.99.7%CL: positive total uncertainty, 99.7% CL
%-S.U.68.3%CL: negative statistical uncertainty, 68.3% CL
%+S.U.68.3%CL: positive statistical uncertainty, 68.3% CL
%
%
Table Lambda-Theta, CS frame, Y(1S):
pT-min   pT-max   |y|-min   |y|-max     Lambda-Theta     -T.U.68.3%CL    +T.U.68.3%CL   -T.U.95.5%CL   +T.U.95.5%CL   -T.U.99.7%CL   +T.U.99.7%CL   -S.U.68.3%CL   +S.U.68.3%CL
  20       30       0.6       1.2           0.176           -0.145          +0.143         -0.282         +0.287         -0.419         +0.439         -0.132         +0.128
  30       50       0.6       1.2           0.449           -0.211          +0.223         -0.404         +0.465         -0.585         +0.718         -0.206         +0.220

Table Lambda-Phi, PX frame, Y(3S):
pT-min   pT-max   |y|-min   |y|-max      Lambda-Phi      -T.U.68.3%CL    +T.U.68.3%CL   -T.U.95.5%CL   +T.U.95.5%CL   -T.U.99.7%CL   +T.U.99.7%CL   -S.U.68.3%CL   +S.U.68.3%CL
  10       12       0.0       0.6          -0.040           -0.048          +0.045         -0.093         +0.092         -0.135         +0.134         -0.024         +0.025
  12       16       0.0       0.6          -0.056           -0.033          +0.030         -0.064         +0.060         -0.094         +0.090         -0.019         +0.017
  16       20       0.0       0.6          -0.034           -0.033          +0.030         -0.065         +0.060         -0.095         +0.092         -0.025         +0.023
  20       30       0.0       0.6          -0.030           -0.031          +0.029         -0.062         +0.059         -0.091         +0.089         -0.028         +0.025
  30       50       0.0       0.6          -0.093           -0.058          +0.051         -0.111         +0.104         -0.162         +0.158         -0.055         +0.050
  10       12       0.6       1.2          -0.007           -0.043          +0.036         -0.084         +0.076         -0.124         +0.115         -0.034         +0.029
  12       16       0.6       1.2          -0.041           -0.032          +0.028         -0.062         +0.059         -0.091         +0.090         -0.024         +0.022
  16       20       0.6       1.2          -0.057           -0.035          +0.032         -0.067         +0.063         -0.098         +0.095         -0.030         +0.027
  20       30       0.6       1.2          -0.093           -0.036          +0.033         -0.071         +0.068         -0.106         +0.102         -0.030         +0.028
  30       50       0.6       1.2           0.040           -0.065          +0.058         -0.123         +0.116         -0.181         +0.174         -0.061         +0.054

Table Lambda-Theta-Phi, PX frame, Y(3S):
pT-min   pT-max   |y|-min   |y|-max   Lambda-Theta-Phi   -T.U.68.3%CL    +T.U.68.3%CL   -T.U.95.5%CL   +T.U.95.5%CL   -T.U.99.7%CL   +T.U.99.7%CL   -S.U.68.3%CL   +S.U.68.3%CL
  10       12       0.0       0.6           0.016           -0.073          +0.066         -0.142         +0.131         -0.211         +0.201         -0.067         +0.059
  12       16       0.0       0.6           0.082           -0.049          +0.045         -0.096         +0.093         -0.141         +0.140         -0.041         +0.038
  16       20       0.0       0.6           0.084           -0.050          +0.045         -0.097         +0.094         -0.144         +0.141         -0.045         +0.040
  20       30       0.0       0.6           0.021           -0.045          +0.040         -0.087         +0.083         -0.128         +0.125         -0.042         +0.037
  30       50       0.0       0.6           0.075           -0.074          +0.067         -0.139         +0.136         -0.204         +0.208         -0.067         +0.064
  10       12       0.6       1.2          -0.118           -0.101          +0.091         -0.192         +0.183         -0.275         +0.270         -0.074         +0.069
  12       16       0.6       1.2           0.029           -0.059          +0.055         -0.116         +0.109         -0.169         +0.166         -0.047         +0.043
  16       20       0.6       1.2           0.051           -0.062          +0.053         -0.116         +0.111         -0.170         +0.165         -0.053         +0.049
  20       30       0.6       1.2           0.066           -0.050          +0.044         -0.096         +0.090         -0.139         +0.136         -0.044         +0.041
  30       50       0.6       1.2          -0.083           -0.081          +0.074         -0.161         +0.149         -0.236         +0.229         -0.074         +0.069

Table Lambda-Tilde, PX frame, Y(3S):
pT-min   pT-max   |y|-min   |y|-max     Lambda-Tilde     -T.U.68.3%CL    +T.U.68.3%CL   -T.U.95.5%CL   +T.U.95.5%CL   -T.U.99.7%CL   +T.U.99.7%CL   -S.U.68.3%CL   +S.U.68.3%CL
  10       12       0.0       0.6           0.077           -0.409          +0.366         -0.729         +0.720         -1.032         +1.024         -0.209         +0.216
  12       16       0.0       0.6           0.231           -0.258          +0.234         -0.498         +0.474         -0.713         +0.713         -0.153         +0.149
  16       20       0.0       0.6           0.184           -0.204          +0.194         -0.398         +0.409         -0.582         +0.623         -0.159         +0.167
  20       30       0.0       0.6           0.224           -0.168          +0.165         -0.330         +0.345         -0.482         +0.525         -0.149         +0.152
  30       50       0.0       0.6           0.066           -0.225          +0.261         -0.435         +0.536         -0.618         +0.851         -0.216         +0.251
  10       12       0.6       1.2           0.095           -0.309          +0.287         -0.587         +0.564         -0.812         +0.829         -0.178         +0.183
  12       16       0.6       1.2           0.119           -0.206          +0.195         -0.387         +0.386         -0.567         +0.586         -0.139         +0.143
  16       20       0.6       1.2           0.489           -0.212          +0.201         -0.402         +0.413         -0.583         +0.635         -0.177         +0.185
  20       30       0.6       1.2          -0.089           -0.163          +0.163         -0.317         +0.327         -0.462         +0.499         -0.143         +0.141
  30       50       0.6       1.2           0.568           -0.289          +0.354         -0.543         +0.727         -0.780         +1.133         -0.275         +0.341

Table Estimated number of signal events, Y(1S):
pT-min   pT-max   Mean pT   |y|-min   |y|-max   Mean |y|   Number of signal events
  10       12       11.0      0.0       0.6      0.300              40962
  12       16       13.7      0.0       0.6      0.296              49031
  16       20       17.7      0.0       0.6      0.295              21928
  20       30       23.5      0.0       0.6      0.294              15485
  30       50       35.8      0.0       0.6      0.299              3532
  10       12       10.9      0.6       1.2      0.859              36508
  12       16       13.7      0.6       1.2      0.860              43786
  16       20       17.7      0.6       1.2      0.868              19566
  20       30       23.5      0.6       1.2      0.873              13989
  30       50       36.0      0.6       1.2      0.876              3238

Table Estimated number of signal events, Y(2S):
pT-min   pT-max   Mean pT   |y|-min   |y|-max   Mean |y|   Number of signal events
  10       12       10.9      0.0       0.6      0.301              13489
  12       16       13.8      0.0       0.6      0.298              17477
  16       20       17.8      0.0       0.6      0.294              8870
  20       30       23.6      0.0       0.6      0.294              6792
  30       50       36.1      0.0       0.6      0.293              1721
  10       12       11.0      0.6       1.2      0.857              11759
  12       16       13.8      0.6       1.2      0.859              15318
  16       20       17.7      0.6       1.2      0.868              7566
  20       30       23.6      0.6       1.2      0.872              6352
  30       50       36.1      0.6       1.2      0.874              1634

Table Estimated number of signal events, Y(3S):
pT-min   pT-max   Mean pT   |y|-min   |y|-max   Mean |y|   Number of signal events
  10       12       11.0      0.0       0.6      0.302              7950
  12       16       13.8      0.0       0.6      0.298              10876
  16       20       17.7      0.0       0.6      0.296              5787
  20       30       23.6      0.0       0.6      0.295              4899
  30       50       36.2      0.0       0.6      0.294              1345
  10       12       11.0      0.6       1.2      0.856              6780
  12       16       13.8      0.6       1.2      0.861              9453
  16       20       17.8      0.6       1.2      0.866              5059
  20       30       23.7      0.6       1.2      0.873              4285
  30       50       36.3      0.6       1.2      0.873              1195
