%                                                       MEASUREMENT OF THE Y(1S), Y(2S) AND Y(3S) POLARIZATIONS
%                                                                 IN PP COLLISIONS AT SQRT(S) = 7 TeV
%
%                                                                        SUPPLEMENTAL MATERIAL
%
%
%These tables list the results of the angular anisotropy parameters Lambda-Theta, Lambda-Phi, Lambda-Theta-Phi and the frame-invariant parameter Lambda-Tilde, for the Y(nS)
%states in the Collins-Soper (CS), helicity (HX), and perpendicular helicity (PX) frames, along with their total uncertainties (TU) (68.3%, 95.5%, and 99.7% CL) and statistical
%uncertainties (SU) only (68.3% CL) for different bins of Y transverse momentum pT and rapidity y.
%
%Column headings are:
%      pT-min: lower border of Y transverse momentum (GeV)
%      pT-max: upper border of Y transverse momentum (GeV)
%     |y|-min: lower border of Y rapidity
%     |y|-max: upper border of Y rapidity
%    Lambda-*: central value of the result
%-T.U.68.3%CL: negative total uncertainty, 68.3% CL
%+T.U.68.3%CL: positive total uncertainty, 68.3% CL
%-T.U.95.5%CL: negative total uncertainty, 95.5% CL
%+T.U.95.5%CL: positive total uncertainty, 95.5% CL
%-T.U.99.7%CL: negative total uncertainty, 99.7% CL
%+T.U.99.7%CL: positive total uncertainty, 99.7% CL
%-S.U.68.3%CL: negative statistical uncertainty, 68.3% CL
%+S.U.68.3%CL: positive statistical uncertainty, 68.3% CL
%
%
Table Lambda-Theta, CS frame, Y(1S):
pT-min   pT-max   |y|-min   |y|-max     Lambda-Theta     -T.U.68.3%CL    +T.U.68.3%CL   -T.U.95.5%CL   +T.U.95.5%CL   -T.U.99.7%CL   +T.U.99.7%CL   -S.U.68.3%CL   +S.U.68.3%CL
  30       50       0.6       1.2          -0.037           -0.038          +0.035         -0.074         +0.071         -0.110         +0.105         -0.035         +0.032

Table Lambda-Theta-Phi, PX frame, Y(1S):
pT-min   pT-max   |y|-min   |y|-max   Lambda-Theta-Phi   -T.U.68.3%CL    +T.U.68.3%CL   -T.U.95.5%CL   +T.U.95.5%CL   -T.U.99.7%CL   +T.U.99.7%CL   -S.U.68.3%CL   +S.U.68.3%CL
  10       12       0.0       0.6           0.069           -0.037          +0.033         -0.074         +0.069         -0.109         +0.104         -0.031         +0.028
  12       16       0.0       0.6           0.055           -0.030          +0.028         -0.061         +0.058         -0.091         +0.087         -0.019         +0.017
  16       20       0.0       0.6           0.030           -0.031          +0.028         -0.060         +0.058         -0.088         +0.086         -0.021         +0.020
  20       30       0.0       0.6          -0.017           -0.028          +0.025         -0.054         +0.051         -0.081         +0.078         -0.021         +0.019
  30       50       0.0       0.6           0.034           -0.042          +0.039         -0.080         +0.078         -0.119         +0.118         -0.039         +0.037
  10       12       0.6       1.2           0.074           -0.049          +0.045         -0.098         +0.093         -0.144         +0.139         -0.032         +0.029
  12       16       0.6       1.2           0.053           -0.036          +0.031         -0.068         +0.066         -0.101         +0.098         -0.021         +0.020
  16       20       0.6       1.2           0.016           -0.033          +0.029         -0.063         +0.060         -0.094         +0.090         -0.024         +0.022
  20       30       0.6       1.2           0.025           -0.029          +0.026         -0.059         +0.056         -0.087         +0.084         -0.023         +0.021
  30       50       0.6       1.2           0.040           -0.046          +0.042         -0.091         +0.088         -0.132         +0.131         -0.042         +0.038

Table Lambda-Tilde, PX frame, Y(1S):
pT-min   pT-max   |y|-min   |y|-max     Lambda-Tilde     -T.U.68.3%CL    +T.U.68.3%CL   -T.U.95.5%CL   +T.U.95.5%CL   -T.U.99.7%CL   +T.U.99.7%CL   -S.U.68.3%CL   +S.U.68.3%CL
  10       12       0.0       0.6           0.087           -0.188          +0.169         -0.357         +0.348         -0.536         +0.526         -0.113         +0.105
  12       16       0.0       0.6          -0.047           -0.160          +0.147         -0.314         +0.301         -0.467         +0.454         -0.075         +0.071
  16       20       0.0       0.6          -0.070           -0.135          +0.118         -0.255         +0.245         -0.381         +0.371         -0.084         +0.078
  20       30       0.0       0.6          -0.081           -0.104          +0.097         -0.202         +0.201         -0.300         +0.299         -0.075         +0.073
  30       50       0.0       0.6          -0.017           -0.146          +0.144         -0.277         +0.297         -0.408         +0.457         -0.132         +0.139
  10       12       0.6       1.2          -0.163           -0.147          +0.136         -0.281         +0.271         -0.409         +0.405         -0.088         +0.085
  12       16       0.6       1.2          -0.131           -0.117          +0.107         -0.223         +0.213         -0.334         +0.324         -0.070         +0.063
  16       20       0.6       1.2          -0.080           -0.106          +0.099         -0.212         +0.204         -0.312         +0.315         -0.080         +0.078
